Architecture,Evaluated_Model,Method,Num_Samples,Clf_Accuracy (%),Acc_95CI,Balanced_Acc (%),F1_Macro (%),F1_95CI,MCC,MAE_W (mm),MAE_L (mm),MAE_D (mm),NMAE_W (%),NMAE_L (%),NMAE_D (%),Overall_NMAE (%),Overall_MAE (mm),Overall_RMSE (mm),R2_W,R2_D
CNN,cnn_train_05pct_PINN_alpha_a10_W100_E300_seed_42_run_20260818_164904,Real_Only_Scratch,20,40.0,"[20.0, 65.0]",30.0,29.33,"[13.9, 45.0]",0.227,0.1599,3.1426,1.0944,40.0,31.4,54.7,42.0,1.4656,1.7472,-2.535,-1.751
CNN,cnn_train_05pct_PINN_alpha_a10_W100_E300_seed_42_run_20260818_164904,Source_Only_ZeroShot,20,25.0,"[5.0, 45.0]",16.67,8.7,"[2.5, 14.6]",-0.045,1.0977,1.2761,2.9027,274.4,12.8,145.1,144.1,1.7589,1.9786,-107.507,-13.613
CNN,cnn_train_05pct_PINN_alpha_a10_W100_E300_seed_42_run_20260818_164904,FewShot_PEFT,20,35.0,"[15.0, 55.0]",36.67,33.58,"[12.5, 44.8]",0.169,0.1753,1.0028,1.1995,43.8,10.0,60.0,37.9,0.7926,1.0084,-2.954,-2.348
CNN,cnn_train_05pct_PINN_alpha_a10_W100_E300_seed_42_run_20260818_164904,Domain_Transfer_MMD,20,55.0,"[30.0, 75.0]",55.0,53.58,"[27.1, 68.1]",0.445,0.185,0.9967,1.1805,46.2,10.0,59.0,38.4,0.7874,1.0127,-3.408,-2.545
CNN,cnn_train_05pct_PINN_alpha_a10_W100_E300_seed_42_run_20260818_164904,Physics_TTA,20,25.0,"[5.0, 45.0]",16.67,8.7,"[2.5, 14.6]",-0.045,1.0576,0.8831,2.7452,264.4,8.8,137.3,136.8,1.562,1.748,-100.693,-12.159
CNN,cnn_train_05pct_PINN_base_a1_W100_E300_seed_42_run_20260819_103124,Real_Only_Scratch,20,50.0,"[30.0, 70.1]",40.0,37.33,"[21.1, 53.3]",0.379,0.2073,3.6874,1.1928,51.8,36.9,59.6,49.4,1.6958,1.8089,-3.545,-1.982
CNN,cnn_train_05pct_PINN_base_a1_W100_E300_seed_42_run_20260819_103124,Source_Only_ZeroShot,20,25.0,"[5.0, 45.0]",16.67,9.09,"[2.7, 14.3]",-0.02,0.9118,1.5508,0.9173,227.9,15.5,45.9,96.4,1.1266,1.3908,-73.85,-1.338
CNN,cnn_train_05pct_PINN_base_a1_W100_E300_seed_42_run_20260819_103124,FewShot_PEFT,20,30.0,"[10.0, 50.0]",33.33,25.97,"[8.6, 38.1]",0.117,0.1693,1.0783,1.0556,42.3,10.8,52.8,35.3,0.7677,0.9913,-2.607,-1.343
CNN,cnn_train_05pct_PINN_base_a1_W100_E300_seed_42_run_20260819_103124,Domain_Transfer_MMD,20,40.0,"[20.0, 60.0]",36.67,37.21,"[15.7, 53.0]",0.253,0.1739,0.9875,1.0132,43.5,9.9,50.7,34.7,0.7249,0.9368,-2.871,-1.282
CNN,cnn_train_05pct_PINN_base_a1_W100_E300_seed_42_run_20260819_103124,Physics_TTA,20,25.0,"[5.0, 45.0]",16.67,10.53,"[3.6, 15.7]",0.032,0.884,1.3138,0.8536,221.0,13.1,42.7,92.3,1.0172,1.2553,-70.142,-1.106
CNN,cnn_train_05pct_PINN_base_a1_W100_E300_seed_456_run_20260819_054213,Real_Only_Scratch,20,40.0,"[20.0, 65.0]",30.0,29.33,"[13.9, 45.0]",0.227,0.1774,2.7096,1.2812,44.3,27.1,64.1,45.2,1.3894,1.6103,-3.078,-1.897
CNN,cnn_train_05pct_PINN_base_a1_W100_E300_seed_456_run_20260819_054213,Source_Only_ZeroShot,20,25.0,"[10.0, 45.0]",23.33,15.43,"[5.7, 24.4]",0.1,0.739,2.1725,0.6986,184.7,21.7,34.9,80.5,1.2034,1.2915,-48.003,-0.132
CNN,cnn_train_05pct_PINN_base_a1_W100_E300_seed_456_run_20260819_054213,FewShot_PEFT,20,45.0,"[25.0, 65.0]",40.0,39.58,"[17.8, 58.0]",0.277,0.1962,0.9715,0.982,49.1,9.7,49.1,36.0,0.7166,0.8558,-4.497,-1.16
CNN,cnn_train_05pct_PINN_base_a1_W100_E300_seed_456_run_20260819_054213,Domain_Transfer_MMD,20,50.0,"[30.0, 75.0]",45.0,43.64,"[21.3, 61.2]",0.35,0.2204,0.9475,0.9791,55.1,9.5,49.0,37.8,0.7157,0.8495,-5.5,-1.083
CNN,cnn_train_05pct_PINN_base_a1_W100_E300_seed_456_run_20260819_054213,Physics_TTA,20,25.0,"[10.0, 45.0]",23.33,15.11,"[5.3, 24.5]",0.086,0.696,1.7452,0.6913,174.0,17.5,34.6,75.3,1.0442,1.1467,-42.895,-0.145
CNN,cnn_train_05pct_PINN_base_a1_W100_E300_seed_789_run_20260821_123448,Real_Only_Scratch,20,40.0,"[20.0, 65.0]",30.0,29.33,"[13.9, 45.0]",0.227,0.2329,2.8562,1.0361,58.2,28.6,51.8,46.2,1.375,1.561,-5.463,-1.265
CNN,cnn_train_05pct_PINN_base_a1_W100_E300_seed_789_run_20260821_123448,Source_Only_ZeroShot,20,20.0,"[5.0, 40.0]",13.33,10.67,"[3.6, 16.4]",0.007,0.874,2.3389,0.7371,218.5,23.4,36.9,92.9,1.3167,1.5455,-68.962,-0.726
CNN,cnn_train_05pct_PINN_base_a1_W100_E300_seed_789_run_20260821_123448,FewShot_PEFT,20,45.0,"[25.0, 65.0]",45.0,41.43,"[19.8, 58.2]",0.341,0.192,1.0011,0.9506,48.0,10.0,47.5,35.2,0.7146,0.8604,-4.473,-0.889
CNN,cnn_train_05pct_PINN_base_a1_W100_E300_seed_789_run_20260821_123448,Domain_Transfer_MMD,20,50.0,"[30.0, 70.0]",48.33,44.76,"[22.9, 61.5]",0.391,0.1977,0.9072,0.9235,49.4,9.1,46.2,34.9,0.6761,0.8341,-4.382,-0.864
CNN,cnn_train_05pct_PINN_base_a1_W100_E300_seed_789_run_20260821_123448,Physics_TTA,20,20.0,"[5.0, 40.0]",13.33,8.89,"[2.7, 14.4]",-0.038,0.8375,1.876,0.7157,209.4,18.8,35.8,88.0,1.143,1.3567,-63.987,-0.624
CNN,cnn_train_07pct_PINN_base_a1_W100_E300_seed_42_run_20260819_122015,Real_Only_Scratch,20,45.0,"[25.0, 70.0]",35.0,33.45,"[17.9, 49.7]",0.301,0.2,3.9763,1.0895,50.0,39.8,54.5,48.1,1.7552,1.9046,-3.475,-1.507
CNN,cnn_train_07pct_PINN_base_a1_W100_E300_seed_42_run_20260819_122015,Source_Only_ZeroShot,20,20.0,"[5.0, 40.0]",13.33,8.89,"[2.7, 15.8]",-0.033,0.8374,2.239,0.9378,209.3,22.4,46.9,92.9,1.3381,1.4563,-63.405,-0.742
CNN,cnn_train_07pct_PINN_base_a1_W100_E300_seed_42_run_20260819_122015,FewShot_PEFT,20,35.0,"[15.0, 55.0]",38.33,33.33,"[12.4, 46.7]",0.195,0.2212,1.3297,0.9938,55.3,13.3,49.7,39.4,0.8482,1.0465,-4.596,-0.979
CNN,cnn_train_07pct_PINN_base_a1_W100_E300_seed_42_run_20260819_122015,Domain_Transfer_MMD,20,40.0,"[20.0, 65.0]",41.67,38.67,"[15.1, 55.7]",0.256,0.2374,1.0851,0.9127,59.3,10.9,45.6,38.6,0.7451,0.9165,-5.178,-0.819
CNN,cnn_train_07pct_PINN_base_a1_W100_E300_seed_42_run_20260819_122015,Physics_TTA,20,20.0,"[5.0, 40.0]",13.33,8.42,"[2.5, 15.0]",-0.051,0.8092,1.652,0.8954,202.3,16.5,44.8,87.9,1.1188,1.2127,-59.609,-0.618
CNN,cnn_train_10pct_PINN_base_a1_W100_E300_seed_42_run_20260819_140557,Real_Only_Scratch,20,40.0,"[20.0, 65.0]",30.0,28.61,"[13.3, 44.6]",0.214,0.1653,2.7018,1.1646,41.3,27.0,58.2,42.2,1.3439,1.5189,-2.54,-1.726
CNN,cnn_train_10pct_PINN_base_a1_W100_E300_seed_42_run_20260819_140557,Source_Only_ZeroShot,20,30.0,"[10.0, 50.0]",23.33,20.32,"[6.0, 32.1]",0.1,0.6821,2.1663,0.7239,170.5,21.7,36.2,76.1,1.1908,1.3542,-40.554,-0.649
CNN,cnn_train_10pct_PINN_base_a1_W100_E300_seed_42_run_20260819_140557,FewShot_PEFT,20,35.0,"[15.0, 55.0]",36.67,26.81,"[13.3, 35.6]",0.18,0.1499,2.0057,0.9316,37.5,20.1,46.6,34.7,1.029,1.1924,-2.439,-0.686
CNN,cnn_train_10pct_PINN_base_a1_W100_E300_seed_42_run_20260819_140557,Domain_Transfer_MMD,20,45.0,"[25.0, 65.0]",45.0,36.97,"[17.3, 53.4]",0.309,0.1567,2.1765,0.9254,39.2,21.8,46.3,35.7,1.0862,1.263,-2.803,-0.675
CNN,cnn_train_10pct_PINN_base_a1_W100_E300_seed_42_run_20260819_140557,Physics_TTA,20,30.0,"[10.0, 50.0]",23.33,20.32,"[6.0, 32.1]",0.1,0.6716,1.8614,0.6945,167.9,18.6,34.7,73.7,1.0758,1.2411,-39.361,-0.423
CNN,train_01pct_NoPINN_E300_seed_42_run_20260818_100422,Real_Only_Scratch,20,40.0,"[20.0, 65.0]",30.0,29.33,"[13.9, 45.0]",0.227,0.2289,3.3262,1.106,57.2,33.3,55.3,48.6,1.5537,1.7559,-5.288,-1.247
CNN,train_01pct_NoPINN_E300_seed_42_run_20260818_100422,Source_Only_ZeroShot,20,10.0,"[0.0, 25.0]",20.0,3.64,"[0.0, 8.3]",0.0,0.5664,2.1762,0.8783,141.6,21.8,43.9,69.1,1.207,1.4032,-37.248,-0.632
CNN,train_01pct_NoPINN_E300_seed_42_run_20260818_100422,FewShot_PEFT,20,55.0,"[35.0, 75.0]",40.0,39.31,"[22.2, 56.9]",0.404,0.123,0.5734,0.9827,30.7,5.7,49.1,28.5,0.5597,0.7548,-1.233,-1.0
CNN,train_01pct_NoPINN_E300_seed_42_run_20260818_100422,Domain_Transfer_MMD,20,55.0,"[35.0, 75.0]",40.0,38.1,"[21.4, 58.2]",0.398,0.0988,0.4368,0.8771,24.7,4.4,43.9,24.3,0.4709,0.5625,-0.325,-0.762
CNN,train_01pct_NoPINN_E300_seed_42_run_20260818_100422,Physics_TTA,20,10.0,"[0.0, 25.0]",20.0,3.64,"[0.0, 8.3]",0.0,0.5723,0.8627,1.0035,143.1,8.6,50.2,67.3,0.8128,0.9853,-34.942,-1.14
CNN,train_01pct_PINN_base_a1_W100_E300_seed_42_run_20260818_113240,Real_Only_Scratch,20,40.0,"[20.0, 65.0]",30.0,29.33,"[13.9, 45.0]",0.227,0.1917,2.8149,1.1102,47.9,28.1,55.5,43.9,1.3722,1.6376,-3.16,-1.65
CNN,train_01pct_PINN_base_a1_W100_E300_seed_42_run_20260818_113240,Source_Only_ZeroShot,20,10.0,"[0.0, 25.0]",13.33,8.33,"[0.0, 17.9]",-0.037,0.6653,1.1964,0.7312,166.3,12.0,36.6,71.6,0.8643,1.0338,-39.31,-0.018
CNN,train_01pct_PINN_base_a1_W100_E300_seed_42_run_20260818_113240,FewShot_PEFT,20,40.0,"[20.0, 60.0]",41.67,36.18,"[17.1, 52.6]",0.257,0.1383,0.7094,1.0015,34.6,7.1,50.1,30.6,0.6164,0.7149,-1.7,-1.077
CNN,train_01pct_PINN_base_a1_W100_E300_seed_42_run_20260818_113240,Domain_Transfer_MMD,20,35.0,"[15.0, 55.0]",25.0,29.33,"[14.3, 43.6]",0.157,0.1335,0.8686,1.0234,33.4,8.7,51.2,31.1,0.6751,0.7967,-1.28,-1.145
CNN,train_01pct_PINN_base_a1_W100_E300_seed_42_run_20260818_113240,Physics_TTA,20,5.0,"[0.0, 15.0]",10.0,2.86,"[0.0, 8.0]",-0.096,0.6376,0.876,0.7161,159.4,8.8,35.8,68.0,0.7432,0.9498,-36.506,-0.007
CNN,train_03pct_NoPINN_E300_seed_42_run_20260820_131219,Real_Only_Scratch,20,45.0,"[25.0, 70.0]",35.0,32.73,"[17.4, 49.3]",0.289,0.2305,2.6185,1.1881,57.6,26.2,59.4,47.7,1.3457,1.4771,-4.525,-1.546
CNN,train_03pct_NoPINN_E300_seed_42_run_20260820_131219,Source_Only_ZeroShot,20,20.0,"[5.0, 40.0]",40.0,14.15,"[3.1, 22.7]",0.149,1.1216,1.7949,0.6734,280.4,17.9,33.7,110.7,1.1966,1.3764,-113.352,-0.326
CNN,train_03pct_NoPINN_E300_seed_42_run_20260820_131219,FewShot_PEFT,20,55.0,"[35.0, 75.0]",40.0,39.31,"[22.2, 56.9]",0.404,0.1022,0.6434,0.8065,25.5,6.4,40.3,24.1,0.5173,0.6734,-0.514,-0.701
CNN,train_03pct_NoPINN_E300_seed_42_run_20260820_131219,Domain_Transfer_MMD,20,50.0,"[30.0, 75.0]",36.67,36.76,"[19.1, 51.1]",0.346,0.0974,0.5766,0.8409,24.3,5.8,42.0,24.1,0.505,0.6089,-0.142,-0.524
CNN,train_03pct_NoPINN_E300_seed_42_run_20260820_131219,Physics_TTA,20,10.0,"[0.0, 25.0]",20.0,6.67,"[0.0, 12.7]",-0.015,1.1975,1.1774,0.7176,299.4,11.8,35.9,115.7,1.0308,1.2352,-131.147,-0.376
CNN,train_03pct_PINN_base_a1_W100_E300_seed_42_run_20260818_145411,Real_Only_Scratch,20,40.0,"[20.0, 65.0]",30.0,29.33,"[13.9, 45.0]",0.227,0.2297,2.6164,1.1666,57.4,26.2,58.3,47.3,1.3375,1.4895,-5.948,-1.864
CNN,train_03pct_PINN_base_a1_W100_E300_seed_42_run_20260818_145411,Source_Only_ZeroShot,20,25.0,"[10.0, 45.0]",23.33,13.41,"[4.4, 22.9]",0.063,0.8282,2.3804,0.964,207.1,23.8,48.2,93.0,1.3909,1.553,-59.79,-1.507
CNN,train_03pct_PINN_base_a1_W100_E300_seed_42_run_20260818_145411,FewShot_PEFT,20,40.0,"[20.0, 65.0]",35.0,32.83,"[14.7, 49.9]",0.26,0.1582,0.643,0.967,39.5,6.4,48.3,31.4,0.5894,0.7423,-1.975,-1.133
CNN,train_03pct_PINN_base_a1_W100_E300_seed_42_run_20260818_145411,Domain_Transfer_MMD,20,50.0,"[30.0, 70.0]",41.67,38.53,"[20.0, 57.2]",0.35,0.1673,0.6875,0.9277,41.8,6.9,46.4,31.7,0.5942,0.7485,-2.161,-1.014
CNN,train_03pct_PINN_base_a1_W100_E300_seed_42_run_20260818_145411,Physics_TTA,20,20.0,"[5.0, 40.0]",13.33,10.0,"[3.1, 16.0]",0.0,0.8007,1.8174,0.8781,200.2,18.2,43.9,87.4,1.1654,1.3296,-56.037,-1.18
CNN,train_05pct_NoPINN_E300_seed_123_run_20260819_010320,Real_Only_Scratch,20,40.0,"[20.0, 65.0]",30.0,29.33,"[13.9, 45.0]",0.227,0.2001,2.951,1.0951,50.0,29.5,54.8,44.8,1.4154,1.5399,-3.605,-1.743
CNN,train_05pct_NoPINN_E300_seed_123_run_20260819_010320,Source_Only_ZeroShot,20,10.0,"[0.0, 25.0]",20.0,3.64,"[0.0, 8.3]",0.0,1.0176,0.6548,0.8169,254.4,6.5,40.8,100.6,0.8298,0.9514,-89.197,-0.528
CNN,train_05pct_NoPINN_E300_seed_123_run_20260819_010320,FewShot_PEFT,20,70.0,"[50.0, 90.0]",65.0,61.19,"[38.7, 76.7]",0.611,0.1375,0.5604,1.0646,34.4,5.6,53.2,31.1,0.5875,0.7235,-1.351,-1.473
CNN,train_05pct_NoPINN_E300_seed_123_run_20260819_010320,Domain_Transfer_MMD,20,60.0,"[40.0, 80.0]",56.67,54.48,"[29.8, 69.3]",0.492,0.1287,0.6677,0.9104,32.2,6.7,45.5,28.1,0.5689,0.667,-1.009,-0.829
CNN,train_05pct_NoPINN_E300_seed_123_run_20260819_010320,Physics_TTA,20,10.0,"[0.0, 25.0]",20.0,3.64,"[0.0, 8.3]",0.0,0.9627,0.2312,0.9048,240.7,2.3,45.2,96.1,0.6995,0.782,-79.432,-0.806
CNN,train_05pct_NoPINN_E300_seed_42_run_20260818_135833,Real_Only_Scratch,20,40.0,"[20.0, 65.0]",30.0,29.33,"[13.9, 45.0]",0.227,0.2149,3.0805,1.4683,53.7,30.8,73.4,52.6,1.5879,1.9078,-3.945,-3.172
CNN,train_05pct_NoPINN_E300_seed_42_run_20260818_135833,Source_Only_ZeroShot,20,15.0,"[0.0, 30.0]",25.0,9.0,"[0.0, 18.0]",0.035,0.8636,2.1751,1.216,215.9,21.8,60.8,99.5,1.4182,1.5617,-65.008,-1.808
CNN,train_05pct_NoPINN_E300_seed_42_run_20260818_135833,FewShot_PEFT,20,50.0,"[30.0, 70.0]",36.67,36.76,"[19.1, 51.5]",0.346,0.1155,0.9002,0.8253,28.9,9.0,41.3,26.4,0.6137,0.7913,-0.817,-0.533
CNN,train_05pct_NoPINN_E300_seed_42_run_20260818_135833,Domain_Transfer_MMD,20,60.0,"[40.0, 80.0]",45.0,43.83,"[26.3, 60.0]",0.472,0.0873,0.5602,0.7882,21.8,5.6,39.4,22.3,0.4786,0.6367,-0.199,-0.533
CNN,train_05pct_NoPINN_E300_seed_42_run_20260818_135833,Physics_TTA,20,30.0,"[10.0, 50.0]",50.0,29.94,"[10.0, 40.6]",0.234,0.8794,0.8999,1.1329,219.8,9.0,56.6,95.2,0.9708,1.1257,-67.224,-1.453
CNN,train_05pct_NoPINN_E300_seed_456_run_20260819_044511,Real_Only_Scratch,20,50.0,"[30.0, 70.1]",40.0,37.33,"[21.1, 53.3]",0.379,0.1792,1.9387,1.2841,44.8,19.4,64.2,42.8,1.134,1.3032,-2.86,-2.434
CNN,train_05pct_NoPINN_E300_seed_456_run_20260819_044511,Source_Only_ZeroShot,20,15.0,"[0.0, 30.0]",23.33,10.16,"[0.0, 19.5]",0.079,0.8305,1.6111,1.009,207.6,16.1,50.4,91.4,1.1502,1.3094,-61.024,-0.962
CNN,train_05pct_NoPINN_E300_seed_456_run_20260819_044511,FewShot_PEFT,20,70.0,"[50.0, 90.0]",65.0,59.83,"[36.2, 87.2]",0.61,0.1303,0.5624,1.0161,32.6,5.6,50.8,29.7,0.5696,0.6632,-0.972,-0.979
CNN,train_05pct_NoPINN_E300_seed_456_run_20260819_044511,Domain_Transfer_MMD,20,55.0,"[30.0, 75.0]",40.0,39.93,"[23.0, 55.0]",0.411,0.1285,0.5216,0.9535,32.1,5.2,47.7,28.3,0.5345,0.6552,-1.101,-0.795
CNN,train_05pct_NoPINN_E300_seed_456_run_20260819_044511,Physics_TTA,20,15.0,"[0.0, 30.0]",23.33,10.71,"[0.0, 20.3]",0.059,0.7942,0.6632,1.0431,198.6,6.6,52.2,85.8,0.8335,0.9596,-55.298,-1.172
CNN,train_05pct_NoPINN_E300_seed_789_run_20260819_082332,Real_Only_Scratch,20,50.0,"[30.0, 70.1]",40.0,36.0,"[20.4, 53.3]",0.356,0.2068,2.555,1.026,51.7,25.6,51.3,42.9,1.2626,1.4892,-3.81,-1.318
CNN,train_05pct_NoPINN_E300_seed_789_run_20260819_082332,Source_Only_ZeroShot,20,15.0,"[0.0, 30.0]",23.33,12.99,"[0.0, 26.5]",-0.042,1.3322,2.8551,1.6185,333.1,28.6,80.9,147.5,1.9353,2.1803,-155.127,-4.086
CNN,train_05pct_NoPINN_E300_seed_789_run_20260819_082332,FewShot_PEFT,20,60.0,"[35.0, 80.0]",50.0,53.48,"[26.7, 69.0]",0.473,0.1289,0.6732,0.9501,32.2,6.7,47.5,28.8,0.584,0.7965,-1.372,-1.055
CNN,train_05pct_NoPINN_E300_seed_789_run_20260819_082332,Domain_Transfer_MMD,20,55.0,"[35.0, 75.1]",41.67,42.58,"[24.8, 55.9]",0.42,0.114,0.6989,0.9181,28.5,7.0,45.9,27.1,0.577,0.7719,-0.781,-1.056
CNN,train_05pct_NoPINN_E300_seed_789_run_20260819_082332,Physics_TTA,20,10.0,"[0.0, 25.0]",20.0,8.0,"[0.0, 16.7]",-0.115,1.3023,1.9522,1.6076,325.6,19.5,80.4,141.8,1.6207,1.8238,-147.025,-4.157
CNN,train_05pct_PINN_alpha_a1000_W100_E300_seed_42_run_20260818_221917,Real_Only_Scratch,20,40.0,"[20.0, 65.0]",30.0,29.33,"[13.9, 45.0]",0.227,0.2123,2.8394,1.2004,53.1,28.4,60.0,47.2,1.4174,1.6583,-3.525,-2.285
CNN,train_05pct_PINN_alpha_a1000_W100_E300_seed_42_run_20260818_221917,Source_Only_ZeroShot,20,25.0,"[5.0, 45.0]",16.67,9.09,"[2.8, 15.2]",-0.059,0.8899,1.1311,4.8047,222.5,11.3,240.2,158.0,2.2752,2.3917,-70.97,-36.408
CNN,train_05pct_PINN_alpha_a1000_W100_E300_seed_42_run_20260818_221917,FewShot_PEFT,20,30.0,"[10.0, 50.0]",33.33,27.06,"[9.4, 39.1]",0.137,0.1684,1.3266,1.2467,42.1,13.3,62.3,39.2,0.9139,1.2293,-2.616,-3.234
CNN,train_05pct_PINN_alpha_a1000_W100_E300_seed_42_run_20260818_221917,Domain_Transfer_MMD,20,55.0,"[30.0, 75.0]",46.67,47.62,"[24.8, 64.9]",0.439,0.1781,1.1844,1.19,44.5,11.8,59.5,38.6,0.8508,1.1209,-2.788,-3.069
CNN,train_05pct_PINN_alpha_a1000_W100_E300_seed_42_run_20260818_221917,Physics_TTA,20,25.0,"[5.0, 45.0]",16.67,9.52,"[3.1, 15.7]",-0.036,0.819,0.8419,4.3237,204.8,8.4,216.2,143.1,1.9949,2.113,-60.089,-29.397
CNN,train_05pct_PINN_alpha_a100_W100_E300_seed_42_run_20260818_193407,Real_Only_Scratch,20,45.0,"[25.0, 70.0]",35.0,33.45,"[17.9, 49.7]",0.301,0.184,3.0001,1.0661,46.0,30.0,53.3,43.1,1.4167,1.6333,-3.362,-1.279
CNN,train_05pct_PINN_alpha_a100_W100_E300_seed_42_run_20260818_193407,Source_Only_ZeroShot,20,25.0,"[5.0, 45.0]",16.67,8.7,"[2.5, 14.6]",-0.045,0.8237,1.0301,4.4559,205.9,10.3,222.8,146.3,2.1032,2.228,-60.899,-31.496
CNN,train_05pct_PINN_alpha_a100_W100_E300_seed_42_run_20260818_193407,FewShot_PEFT,20,30.0,"[10.0, 50.0]",26.67,26.67,"[10.0, 40.6]",0.117,0.1666,1.1698,1.229,41.6,11.7,61.4,38.3,0.8551,1.1146,-2.414,-2.857
CNN,train_05pct_PINN_alpha_a100_W100_E300_seed_42_run_20260818_193407,Domain_Transfer_MMD,20,50.0,"[30.0, 70.0]",43.33,45.74,"[22.1, 62.8]",0.361,0.1652,1.1186,1.1588,41.3,11.2,57.9,36.8,0.8142,1.0509,-2.561,-2.745
CNN,train_05pct_PINN_alpha_a100_W100_E300_seed_42_run_20260818_193407,Physics_TTA,20,25.0,"[5.0, 45.0]",16.67,9.52,"[3.1, 15.7]",0.0,0.7609,0.7875,4.0164,190.2,7.9,200.8,133.0,1.8549,1.9831,-52.251,-25.792
CNN,train_05pct_PINN_base_a1_W100_E300_seed_123_run_20260819_020022,Real_Only_Scratch,20,40.0,"[20.0, 65.0]",30.0,29.33,"[13.9, 45.0]",0.227,0.2515,2.8156,1.2227,62.9,28.2,61.1,50.7,1.4299,1.6415,-6.737,-1.879
CNN,train_05pct_PINN_base_a1_W100_E300_seed_123_run_20260819_020022,Source_Only_ZeroShot,20,20.0,"[5.0, 40.0]",20.0,11.9,"[3.3, 21.2]",0.051,0.9043,4.6614,0.8212,226.1,46.6,41.1,104.6,2.129,2.2085,-70.581,-0.368
CNN,train_05pct_PINN_base_a1_W100_E300_seed_123_run_20260819_020022,FewShot_PEFT,20,45.0,"[25.0, 65.0]",41.67,41.19,"[23.1, 55.0]",0.332,0.1535,1.222,1.0191,38.4,12.2,51.0,33.8,0.7982,0.9837,-2.365,-1.2
CNN,train_05pct_PINN_base_a1_W100_E300_seed_123_run_20260819_020022,Domain_Transfer_MMD,20,50.0,"[30.0, 70.0]",43.33,46.67,"[21.4, 62.2]",0.355,0.1577,1.1329,0.9895,39.4,11.3,49.5,33.4,0.76,0.9416,-2.463,-1.213
CNN,train_05pct_PINN_base_a1_W100_E300_seed_123_run_20260819_020022,Physics_TTA,20,20.0,"[5.0, 40.0]",13.33,8.42,"[2.5, 15.0]",-0.051,0.8942,3.8334,0.8056,223.5,38.3,40.3,100.7,1.8444,1.9302,-69.013,-0.311
CNN,train_07pct_NoPINN_E300_seed_42_run_20260819_100621,Real_Only_Scratch,20,45.0,"[25.0, 70.0]",35.0,33.45,"[17.9, 49.7]",0.301,0.188,2.5705,1.0487,47.0,25.7,52.4,41.7,1.2691,1.5069,-3.113,-1.481
CNN,train_07pct_NoPINN_E300_seed_42_run_20260819_100621,Source_Only_ZeroShot,20,10.0,"[0.0, 25.0]",20.0,5.71,"[0.0, 11.8]",-0.066,0.9008,1.8118,1.1344,225.2,18.1,56.7,100.0,1.2824,1.4415,-70.502,-1.281
CNN,train_07pct_NoPINN_E300_seed_42_run_20260819_100621,FewShot_PEFT,20,45.0,"[25.0, 70.0]",33.33,33.65,"[15.2, 49.1]",0.293,0.1183,0.5018,0.8548,29.6,5.0,42.7,25.8,0.4916,0.6138,-1.073,-0.426
CNN,train_07pct_NoPINN_E300_seed_42_run_20260819_100621,Domain_Transfer_MMD,20,50.0,"[30.0, 75.0]",36.67,36.76,"[19.1, 51.1]",0.346,0.0983,0.5296,0.8642,24.6,5.3,43.2,24.4,0.4974,0.5773,-0.288,-0.496
CNN,train_07pct_NoPINN_E300_seed_42_run_20260819_100621,Physics_TTA,20,10.0,"[0.0, 25.0]",20.0,5.71,"[0.0, 12.0]",-0.066,0.8743,0.7936,1.1567,218.6,7.9,57.8,94.8,0.9415,1.0718,-66.852,-1.422
CNN,train_10pct_NoPINN_E300_seed_42_run_20260819_115152,Real_Only_Scratch,20,40.0,"[20.0, 65.0]",30.0,29.33,"[13.9, 45.0]",0.227,0.1777,3.15,1.1737,44.4,31.5,58.7,44.9,1.5005,1.6572,-2.71,-1.697
CNN,train_10pct_NoPINN_E300_seed_42_run_20260819_115152,Source_Only_ZeroShot,20,25.0,"[10.0, 45.0]",30.0,20.38,"[6.1, 34.4]",0.111,1.0539,2.1327,1.1849,263.5,21.3,59.2,114.7,1.4572,1.6409,-98.159,-1.865
CNN,train_10pct_NoPINN_E300_seed_42_run_20260819_115152,FewShot_PEFT,20,60.0,"[40.0, 80.0]",56.67,55.67,"[32.4, 72.0]",0.473,0.1012,0.5706,0.831,25.3,5.7,41.5,24.2,0.5009,0.6428,-0.228,-0.603
CNN,train_10pct_NoPINN_E300_seed_42_run_20260819_115152,Domain_Transfer_MMD,20,55.0,"[35.0, 75.0]",41.67,40.19,"[23.2, 57.2]",0.407,0.0895,0.7423,0.949,22.4,7.4,47.5,25.7,0.5936,0.716,0.055,-0.831
CNN,train_10pct_NoPINN_E300_seed_42_run_20260819_115152,Physics_TTA,20,25.0,"[5.0, 45.0]",23.33,20.38,"[5.0, 32.5]",0.052,1.0391,0.8401,1.1405,259.8,8.4,57.0,108.4,1.0066,1.1589,-96.222,-1.671
MLP_Multitask,mlp_train_01pct_PINN_base_a1_W0_E300_seed_42_run_20260828_161012,Real_Only_Scratch,20,45.0,"[25.0, 70.0]",35.0,33.45,"[17.9, 49.7]",0.301,0.215,3.1538,1.2861,53.8,31.5,64.3,49.9,1.5516,1.7085,-3.83,-1.896
MLP_Multitask,mlp_train_01pct_PINN_base_a1_W0_E300_seed_42_run_20260828_161012,Source_Only_ZeroShot,20,10.0,"[0.0, 25.0]",20.0,3.64,"[0.0, 8.3]",0.0,0.3174,3.9579,2.9222,79.4,39.6,146.1,88.3,2.3992,2.5202,-9.225,-13.393
